kommun_kod,kommun_namn,lan,org_nr,webbplats,diarium_url,contact_count,confidence,verified_at,notes
2182,Söderhamn,Gävleborgs län,212000-2353,http://www.soderhamn.se,,4,high,2026-05-17,
2183,Bollnäs,Gävleborgs län,212000-2361,http://www.bollnas.se,,2,medium,2026-05-16,
2184,Hudiksvall,Gävleborgs län,212000-2379,http://www.hudiksvall.se,,2,medium,2026-05-17,
2260,Ånge,Västernorrlands län,212000-2387,http://www.ange.se,,0,low,2026-05-17,
2262,Timrå,Västernorrlands län,212000-2395,http://www.timra.se,,1,medium,2026-05-17,
2280,Härnösand,Västernorrlands län,212000-2403,https://www.harnosand.se,,7,high,2026-05-17,
2281,Sundsvall,Västernorrlands län,212000-2411,http://www.sundsvall.se,,4,medium,2026-05-17,
2282,Kramfors,Västernorrlands län,212000-2429,http://www.kramfors.se,,6,medium,2026-05-17,
2283,Sollefteå,Västernorrlands län,212000-2437,http://www.solleftea.se,,1,medium,2026-05-17,
2284,Örnsköldsvik,Västernorrlands län,212000-2445,http://www.ornskoldsvik.se,,3,medium,2026-05-17,
2303,Ragunda,Jämtlands län,212000-2452,https://www.ragunda.se/,,13,medium,2026-05-17,
2305,Bräcke,Jämtlands län,212000-2460,http://www.bracke.se,,2,medium,2026-05-17,
2309,Krokom,Jämtlands län,212000-2478,http://www.krokom.se,,1,medium,2026-05-17,
2313,Strömsund,Jämtlands län,212000-2486,http://www.stromsund.se,,0,low,2026-05-17,
2321,Åre,Jämtlands län,212000-2494,http://www.are.se,,3,medium,2026-05-17,
2326,Berg,Jämtlands län,212000-2502,https://www.berg.se,,3,medium,2026-05-16,
2361,Härjedalen,Jämtlands län,212000-2510,https://www.herjedalen.se/,,4,high,2026-05-17,
2380,Östersund,Jämtlands län,212000-2528,http://www.ostersund.se,,10,high,2026-05-17,
2401,Nordmaling,Västerbottens län,212000-2536,http://www.nordmaling.se,,0,low,2026-05-17,homepage fetch failed: fetch failed
2403,Bjurholm,Västerbottens län,212000-2833,https://www.bjurholm.se/,,3,medium,2026-05-16,
2404,Vindeln,Västerbottens län,212000-2544,http://www.vindeln.se,,3,high,2026-05-17,
2409,Robertsfors,Västerbottens län,212000-2551,http://www.robertsfors.se,,4,medium,2026-05-17,
2417,Norsjö,Västerbottens län,212000-2858,https://www.norsjo.se/,,3,medium,2026-05-17,
2418,Malå,Västerbottens län,212000-2866,http://www.mala.se,,4,high,2026-05-17,
2421,Storuman,Västerbottens län,212000-2577,http://www.storuman.se,,0,low,2026-05-17,
2422,Sorsele,Västerbottens län,212000-2585,http://www.sorsele.se,,1,medium,2026-05-17,
2425,Dorotea,Västerbottens län,212000-2809,http://www.dorotea.se,,1,medium,2026-05-17,
2460,Vännäs,Västerbottens län,212000-2841,https://www.vannas.se,,3,high,2026-05-17,
2462,Vilhelmina,Västerbottens län,212000-2601,http://www.vilhelmina.se,,1,medium,2026-05-17,
2463,Åsele,Västerbottens län,212000-2791,http://www.asele.se,,1,medium,2026-05-17,
2480,Umeå,Västerbottens län,212000-2627,http://www.umea.se,,20,high,2026-05-17,
2481,Lycksele,Västerbottens län,212000-2635,http://www.lycksele.se,,1,medium,2026-05-17,
2482,Skellefteå,Västerbottens län,212000-2643,http://www.skelleftea.se,,0,low,2026-05-17,
2505,Arvidsjaur,Norrbottens län,212000-2650,https://www.arvidsjaur.se/,,2,medium,2026-05-16,
2506,Arjeplog,Norrbottens län,212000-2668,http://www.arjeplog.se,,2,medium,2026-05-16,
2510,Jokkmokk,Norrbottens län,212000-2676,http://www.jokkmokk.se,,4,medium,2026-05-17,
2513,Överkalix,Norrbottens län,212000-2684,http://www.overkalix.se,,2,medium,2026-05-17,
2514,Kalix,Norrbottens län,212000-2692,http://www.kalix.se,,1,medium,2026-05-17,
2518,Övertorneå,Norrbottens län,212000-2700,http://www.overtornea.se,,2,medium,2026-05-17,
2521,Pajala,Norrbottens län,212000-2718,http://www.pajala.se,,3,medium,2026-05-17,
2523,Gällivare,Norrbottens län,212000-2726,http://www.gellivare.se,,0,low,2026-05-17,homepage fetch failed: fetch failed
2560,Älvsbyn,Norrbottens län,212000-2734,http://www.alvsbyn.se,,3,high,2026-05-17,
2580,Luleå,Norrbottens län,212000-2742,http://www.lulea.se,,2,medium,2026-05-17,
